#### EXPORT DONNEES METEO POUR "MONTRéAL" (LAT/LON: 45.5086699/-73.5539925)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2020-01-01,-1,-3,24,-2,-2,-1,2.3,93,6.75,1003,98,0,0,-9,338,122,122,1.7,1,3.3,météo très défavorable,16:21:00,07:35:00,-1
2020-01-02,1,-5,14,-5,-1,1,0.8,100,6.75,1008,88,1,1,-9,122,338,143,0.6,2,3.3,météo très défavorable,16:22:00,07:35:00,-5
2020-01-03,2,-3,9,1,1,1,2.2,100,4,1007,100,2,2,-2,143,248,296,0,1,3.3,météo très défavorable,16:23:00,07:35:00,1
2020-01-04,0,-2,12,-2,-1,-2,0.8,93,6.5,1009,86.75,0,0,-5,122,122,338,0.7,1,3.3,météo très défavorable,16:24:00,07:35:00,-1
2020-01-05,-3,-6,14,-4,-5,-5,1,90,7.125,1009,64.125,0,0,-10,332,116,116,0.8,1,6.9,météo très défavorable,16:25:00,07:35:00,-3
2020-01-06,-3,-8,11,-8,-5,-4,3.7,96,6.75,1012,76.75,0,0,-12,122,338,338,2.7,2,3.3,météo très défavorable,16:26:00,07:34:00,-8
2020-01-07,-7,-13,15,-10,-9,-9,0.1,88,9.875,1016,45.625,0,0,-17,116,116,122,0,2,8.7,météo très défavorable,16:27:00,07:34:00,-8
2020-01-08,-3,-15,29,-4,-5,-12,5.2,96,5.75,1021,95.375,0,0,-15,338,230,326,1.6,1,3.4,météo très défavorable,16:28:00,07:34:00,-5
2020-01-09,-14,-18,17,-18,-16,-14,0,88,10,1040,64.625,0,0,-27,116,116,122,0,1,6.9,météo très défavorable,16:29:00,07:34:00,-16
2020-01-10,1,-15,15,-5,-1,1,4.7,95,5.375,1031,87.75,1,1,-9,317,266,296,0.1,2,3.4,météo très défavorable,16:30:00,07:33:00,-8
2020-01-11,4,-6,18,2,4,-2,38.1,100,5.875,1024,100,4,4,-2,302,308,338,19,1,3.4,météo très défavorable,16:31:00,07:33:00,2
2020-01-12,-6,-12,33,-10,-11,-11,42.8,94,4.75,1031,99.875,0,0,-20,350,338,338,36.4,1,3.4,météo très défavorable,16:33:00,07:33:00,-10
2020-01-13,-12,-17,10,-17,-14,-12,0.6,96,5.375,1035,76.25,0,0,-24,143,122,332,0.4,1,3.4,météo très défavorable,16:34:00,07:32:00,-16
2020-01-14,-10,-16,11,-16,-12,-11,0.5,97,2.5,1032,78.125,0,0,-19,260,143,122,0.4,1,3.4,météo très défavorable,16:35:00,07:32:00,-15
2020-01-15,0,-13,9,-9,-2,-1,2.7,97,5.75,1018,91.25,0,0,-13,338,332,122,2.2,1,3.4,météo très défavorable,16:36:00,07:31:00,-9
2020-01-16,-3,-11,18,-4,-4,-7,11.6,96,3,1023,98.875,0,0,-11,338,338,338,9.9,1,3.4,météo très défavorable,16:38:00,07:30:00,-3
2020-01-17,-15,-21,11,-21,-18,-16,0,86,10,1042,10.5,0,0,-27,116,116,113,0,2,8.7,météo très défavorable,16:39:00,07:30:00,-19
2020-01-18,-15,-21,15,-20,-17,-16,2.8,95,6,1040,73.125,0,0,-23,143,119,338,2.4,2,3.4,météo très défavorable,16:40:00,07:29:00,-21
2020-01-19,-9,-20,17,-10,-11,-9,18,95,2.125,1007,97.875,0,0,-18,338,338,338,15.3,1,3.4,météo très défavorable,16:42:00,07:29:00,-11
2020-01-20,-14,-18,21,-18,-15,-14,0,89,10,1026,36,0,0,-24,116,116,116,0,1,8.7,météo très défavorable,16:43:00,07:28:00,-17
2020-01-21,-8,-20,14,-20,-14,-8,0.2,96,6.625,1030,65.125,0,0,-26,143,122,326,0.2,1,3.4,météo très défavorable,16:44:00,07:27:00,-19
2020-01-22,-1,-13,17,-7,-4,-1,2.2,94,6.125,1027,89,0,0,-12,335,332,368,1.5,1,3.5,météo très défavorable,16:46:00,07:26:00,-6
2020-01-23,-0,-6,15,-4,-2,-1,0,90,10,1027,72.625,0,0,-9,116,122,122,0,2,5.2,météo très défavorable,16:47:00,07:25:00,-5
