#### EXPORT DONNEES METEO POUR "MONTRéAL" (LAT/LON: 45.5086699/-73.5539925)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-01-21,-5,-17,18,-14,-7,-5,4,94,6,1015,91.875,0,0,-19,326,338,338,3.4,1,3.4,météo très défavorable,16:45:00,07:26:00,-16
2021-01-22,-3,-11,13,-7,-4,-5,4.3,97,6.375,1007,93.25,0,0,-10,326,119,122,3.4,1,3.5,météo très défavorable,16:47:00,07:26:00,-5
2021-01-23,-10,-16,23,-15,-15,-13,1,94,7.375,1019,88.375,0,0,-25,332,338,116,0.6,1,3.5,météo très défavorable,16:48:00,07:25:00,-13
2021-01-24,-12,-18,25,-18,-15,-12,0,85,10,1020,39.625,0,0,-28,116,119,116,0,2,8.7,météo très défavorable,16:50:00,07:24:00,-17
2021-01-25,-10,-18,12,-18,-13,-11,0,91,10,1021,32.75,0,0,-26,119,116,116,0,2,7,météo très défavorable,16:51:00,07:23:00,-18
2021-01-26,-9,-15,9,-15,-11,-10,0,95,7.375,1021,52.875,0,0,-19,116,116,122,0,1,7,météo très défavorable,16:53:00,07:22:00,-14
2021-01-27,-5,-10,14,-10,-8,-5,2,95,5.5,1017,99,0,0,-16,338,332,332,1.7,1,3.5,météo très défavorable,16:54:00,07:21:00,-10
2021-01-28,-8,-15,20,-10,-12,-12,1.7,95,6.125,1021,98.25,0,0,-20,338,332,326,1.4,1,3.5,météo très défavorable,16:56:00,07:20:00,-8
2021-01-29,-15,-20,15,-20,-17,-15,0.5,95,9.375,1026,96.75,0,0,-28,332,326,119,0.3,1,3.5,météo très défavorable,16:57:00,07:19:00,-20
2021-01-30,-16,-23,12,-23,-19,-16,0,93,9.625,1029,43.875,0,0,-29,116,116,116,0,1,8.7,météo très défavorable,16:58:00,07:17:00,-22
