DATE       ,MAX_TEMPERATURE_C ,MIN_TEMPERATURE_C ,WINDSPEED_MAX_KMH ,TEMPERATURE_MORNING_C ,TEMPERATURE_NOON_C ,TEMPERATURE_EVENING_C ,PRECIP_TOTAL_DAY_MM ,HUMIDITY_MAX_PERCENT ,VISIBILITY_AVG_KM ,PRESSURE_MAX_MB ,CLOUDCOVER_AVG_PERCENT ,HEATINDEX_MAX_C ,DEWPOINT_MAX_C ,WINDTEMP_MAX_C ,WEATHER_CODE_MORNING ,WEATHER_CODE_NOON ,WEATHER_CODE_EVENING ,TOTAL_SNOW_MM ,UV_INDEX ,SUNHOUR ,OPINION                ,SUNSET   ,SUNRISE  ,TEMPERATURE_NIGHT_C
2022-01-19 ,-6                ,-29               ,               15 ,-25                   ,-15                ,-6                    ,                1.9 ,                  98 ,            2.625 ,           1023 ,                82.75  ,              0 ,             0 ,-31            ,                 260 ,              338 ,                 338 ,          1.6 ,       1 ,    3.4 ,météo très défavorable ,16:42:00 ,07:28:00 ,-29
2022-01-20 ,-6                ,-24               ,               16 ,-17                   ,-17                ,-17                   ,                0.1 ,                  90 ,            8.625 ,           1031 ,                43.625 ,              0 ,             0 ,-28            ,                 113 ,              113 ,                 119 ,          0.1 ,       1 ,    6.9 ,météo très défavorable ,16:44:00 ,07:27:00 ,-12
2022-01-21 ,-16               ,-34               ,                3 ,-34                   ,-21                ,-22                   ,                0   ,                  98 ,            4     ,           1042 ,                 6.625 ,              0 ,             0 ,-34            ,                 260 ,              113 ,                 113 ,          0   ,       1 ,    8.7 ,météo très défavorable ,16:45:00 ,07:27:00 ,-32
2022-01-22 ,-13               ,-31               ,                6 ,-31                   ,-18                ,-16                   ,                0   ,                 100 ,            2.75  ,           1039 ,                50.625 ,              0 ,             0 ,-31            ,                 260 ,              116 ,                 143 ,          0   ,       1 ,    7   ,météo très défavorable ,16:47:00 ,07:26:00 ,-30
2022-01-23 ,-5                ,-20               ,               19 ,-9                    ,-5                 ,-12                   ,                0.7 ,                  96 ,            5.75  ,           1016 ,                85.375 ,              0 ,             0 ,-15            ,                 332 ,              371 ,                 119 ,          0.6 ,       1 ,    3.5 ,météo très défavorable ,16:48:00 ,07:25:00 ,-10
2022-01-24 ,-10               ,-30               ,                9 ,-30                   ,-17                ,-10                   ,                0.2 ,                 100 ,            4.375 ,           1018 ,                73     ,              0 ,             0 ,-36            ,                 260 ,              122 ,                 332 ,          0.2 ,       1 ,    3.5 ,météo très défavorable ,16:49:00 ,07:24:00 ,-29
2022-01-25 ,-5                ,-14               ,               16 ,-11                   ,-5                 ,-8                    ,                1.9 ,                  97 ,            5     ,           1019 ,                82.5   ,              0 ,             0 ,-16            ,                 338 ,              338 ,                 116 ,          1.6 ,       1 ,    3.5 ,météo très défavorable ,16:51:00 ,07:23:00 ,-13
2022-01-26 ,-15               ,-26               ,               14 ,-23                   ,-20                ,-19                   ,                0   ,                  92 ,           10     ,           1032 ,                39     ,              0 ,             0 ,-34            ,                 116 ,              116 ,                 122 ,          0   ,       2 ,    7   ,météo très défavorable ,16:52:00 ,07:22:00 ,-19
2022-01-27 ,-7                ,-31               ,               18 ,-28                   ,-12                ,-9                    ,                0.2 ,                 100 ,            5.625 ,           1033 ,                50.75  ,              0 ,             0 ,-34            ,                 260 ,              116 ,                 116 ,          0.2 ,       1 ,    8.7 ,météo très défavorable ,16:54:00 ,07:21:00 ,-30
2022-01-28 ,-4                ,-25               ,               15 ,-5                    ,-14                ,-20                   ,                0.8 ,                  95 ,            6     ,           1028 ,                71.875 ,              0 ,             0 ,-21            ,                 326 ,              329 ,                 143 ,          0.7 ,       1 ,    5.2 ,météo très défavorable ,16:55:00 ,07:20:00 ,-4
2022-01-29 ,-15               ,-31               ,               18 ,-29                   ,-20                ,-17                   ,                0   ,                  97 ,            5.25  ,           1029 ,                42.5   ,              0 ,             0 ,-39            ,                 260 ,              119 ,                 122 ,          0   ,       1 ,    7   ,météo très défavorable ,16:57:00 ,07:19:00 ,-31
2022-01-30 ,-11               ,-22               ,               18 ,-22                   ,-14                ,-12                   ,                0   ,                  90 ,            8     ,           1016 ,                41.25  ,              0 ,             0 ,-30            ,                 113 ,              116 ,                 116 ,          0   ,       1 ,    7   ,météo très défavorable ,16:58:00 ,07:18:00 ,-21
2022-01-31 ,-7                ,-22               ,                7 ,-16                   ,-8                 ,-11                   ,                0.3 ,                  98 ,            3.375 ,           1029 ,                79.5   ,              0 ,             0 ,-18            ,                 260 ,              332 ,                 143 ,          0.3 ,       1 ,    3.7 ,météo très défavorable ,17:00:00 ,07:17:00 ,-22
